outcome,modifier,strata,estimate,rr,low,high,p_diff,p_diff_sign
Asthma,GDP per capita,Lower,"1.032 (1.019, 1.045)*",1.03155031966564,1.01854326785579,1.04472347477431,0.008,*
Respiratory diseases,GDP per capita,Medium,"1.000 (0.995, 1.005)",0.999604867409324,0.994546021564739,1.0046894455184,0.106,
Acute upper RI,GDP per capita,Medium,"1.010 (0.998, 1.021)",1.00972418689159,0.998407002082667,1.0211696547271,0.126,
Pneumonia,GDP per capita,Medium,"1.001 (0.995, 1.008)",1.00146149636502,0.995028454397691,1.00793612913186,0.505,
Acute lower RI,GDP per capita,Medium,"0.996 (0.990, 1.002)*",0.99596455960056,0.989964386543022,1.0020010997004,0.001,*
COPD,GDP per capita,Medium,"1.004 (0.997, 1.011)",1.00424915692236,0.997367731008476,1.01117806183635,0.613,
Asthma,GDP per capita,Medium,"0.999 (0.989, 1.009)",0.999389852239973,0.989409558042309,1.00947081887552,0.171,
Respiratory diseases,GDP per capita,Higher,"1.005 (1.001, 1.009)",1.00500521277874,1.00087300965056,1.00915447611588,,
Acute upper RI,GDP per capita,Higher,"0.997 (0.986, 1.009)",0.997234909758952,0.986043031486629,1.00855381913972,,
Pneumonia,GDP per capita,Higher,"1.005 (0.997, 1.013)",1.00490805389601,0.997116255601248,1.01276073989602,,
Acute lower RI,GDP per capita,Higher,"1.012 (1.004, 1.020)",1.01183966591158,1.00412304228465,1.01961559131497,,
COPD,GDP per capita,Higher,"1.007 (1.000, 1.014)",1.00685036783032,0.999530037548606,1.0142243105433,,
Asthma,GDP per capita,Higher,"1.009 (0.999, 1.019)",1.00930918695314,0.999292441154049,1.01942633899195,,
Respiratory diseases,Annual average temperature,Lower,"1.011 (1.000, 1.022)",1.01076965301176,0.999911123390261,1.02174610077896,0.089,
Acute upper RI,Annual average temperature,Lower,"1.041 (1.019, 1.063)*",1.04069058922548,1.01866806075705,1.06318922151893,0.003,*
Pneumonia,Annual average temperature,Lower,"1.023 (1.007, 1.039)*",1.02308323937433,1.00700797150755,1.03941512312132,0.007,*
Acute lower RI,Annual average temperature,Lower,"1.007 (0.993, 1.022)",1.00721136616714,0.992717430869591,1.02191691672788,0.361,
COPD,Annual average temperature,Lower,"1.012 (0.999, 1.025)",1.01196526663758,0.998903695970434,1.02519762917283,0.384,
Asthma,Annual average temperature,Lower,"1.030 (1.004, 1.057)*",1.03044893875214,1.00418401138674,1.05740083822792,0.019,*
Respiratory diseases,Annual average temperature,Medium,"1.001 (0.997, 1.004)",1.00083249158173,0.997237152869575,1.00444079256712,,
Acute upper RI,Annual average temperature,Medium,"1.005 (0.996, 1.014)",1.00513561134126,0.996212354976923,1.01413879494575,,
Pneumonia,Annual average temperature,Medium,"1.000 (0.995, 1.005)",0.99990782085145,0.994941185648795,1.00489924894196,,
Acute lower RI,Annual average temperature,Medium,"1.000 (0.995, 1.005)",1.00007552070133,0.995312047078301,1.00486179187919,,
COPD,Annual average temperature,Medium,"1.006 (1.000, 1.011)",1.00566038870823,1.00021515677252,1.01113526481662,,
Asthma,Annual average temperature,Medium,"0.998 (0.990, 1.006)",0.997756922002282,0.990033724281723,1.00554036795638,,
Respiratory diseases,Annual average temperature,Higher,"1.015 (1.004, 1.026)*",1.01462908346366,1.00363634919064,1.02574222011838,0.019,*
Acute upper RI,Annual average temperature,Higher,"1.014 (0.993, 1.035)",1.0137179505308,0.993336055849439,1.03451805376138,0.453,
Pneumonia,Annual average temperature,Higher,"1.014 (1.002, 1.026)*",1.01392227578432,1.00169022073571,1.02630370153419,0.038,*
Acute lower RI,Annual average temperature,Higher,"1.011 (0.999, 1.024)",1.01112124332882,0.998674741260536,1.02372286638629,0.105,
COPD,Annual average temperature,Higher,"1.017 (1.004, 1.029)",1.0168096912968,1.00441333626513,1.02935904073079,0.107,
Asthma,Annual average temperature,Higher,"1.035 (1.021, 1.049)*",1.03494074418577,1.02105756303445,1.04901269306758,0,*
Respiratory diseases,Annual average relative humidity,Lower,"1.015 (1.007, 1.024)*",1.01543056411828,1.00727475442783,1.02365241063871,0.006,*
Acute upper RI,Annual average relative humidity,Lower,"1.027 (1.009, 1.045)",1.02708463756793,1.00916678182252,1.04532062660934,0.089,
Pneumonia,Annual average relative humidity,Lower,"1.017 (1.006, 1.027)*",1.01660148568133,1.00596243419625,1.02735305569857,0.032,*
Acute lower RI,Annual average relative humidity,Lower,"1.016 (1.006, 1.026)*",1.01563625523703,1.00553142122712,1.02584263522373,0.007,*
COPD,Annual average relative humidity,Lower,"1.018 (1.007, 1.030)*",1.01841845703572,1.00721519769281,1.02974633028457,0.048,*
Asthma,Annual average relative humidity,Lower,"1.019 (1.006, 1.033)",1.0194127572101,1.00598923132085,1.03301540136592,0.134,
Respiratory diseases,Annual average relative humidity,Medium,"1.002 (0.997, 1.007)",1.00183044688667,0.996590970444403,1.00709746934752,,
Acute upper RI,Annual average relative humidity,Medium,"1.009 (0.998, 1.020)",1.0088412176243,0.998017372493573,1.01978245111582,,
Pneumonia,Annual average relative humidity,Medium,"1.003 (0.996, 1.009)",1.00291114961923,0.996388626159813,1.0094763705876,,
